베이스라인명: LaMMA-P,Task,FloorPlan,실험 날짜,Success Rate,Coverage,Transport Rate,Exec,Balance,Step,Makespan,Makespan(time),Token(total),Token(input),1열,Token(output),로봇 수 / 피드백 루프 허용 수,실패 원인,,,,,,,,,,,,,,,,,,,
,1_put_bread_lettuce_tomato_fridge,FloorPlan1,2026. 4. 1,TRUE,1,1,1,0.5,16,8,248.6,,,1,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
,1_put_computer_book_remotecontrol_sofa,FloorPlan201,2026. 4. 1,TRUE,1,1,1,1,12,4,87.3,,,1,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
,1_put_knife_bowl_mug_countertop,FloorPlan1,2026. 4. 1,FALSE,0,0,0,0,0,0,0,,,0,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
,1_put_plate_mug_bowl_fridge,FloorPlan1,2026. 4. 1,TRUE,1,1,1,0.75,24,8,594.1,,,1,,3대 / 2번,피드백 돔,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
,1_put_remotecontrol_keys_watch_box,FloorPlan201,2026. 4. 1,FALSE,0,0,0,0,0,0,2.5,,,0,,3대 / 2번,피드백 돔,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
,1_put_vase_tissuebox_remotecontrol_table,FloorPlan201,2026. 4. 1,TRUE,1,1,1,1,12,4,91.8,,,1,,3대 / 2번,,,,,,,,,,,,,,,,,,,,
